City,State,Country,Confirmed,Dead,Recovered
,,Global,3834898,256599,816685
,,Benin,54,1,27
,,Papua New Guinea,8,0,0
,,Angola,25,2,6
,,Cambodia,122,0,117
,,Sudan,213,17,19
,,Kazakhstan,2601,25,646
,,Paraguay,228,9,85
,,Portugal,23392,880,1277
,,Syria,42,3,11
,,Bahamas,78,11,15
,,Grenada,18,0,7
,,Greece,2506,130,577
,,Latvia,804,12,267
,,Mongolia,37,0,9
,,Iran,89328,5650,68193
,,Morocco,3897,159,537
,,Mali,370,21,91
,,Panama,5538,159,338
,,Guatemala,473,13,45
,,Guyana,73,7,12
,,Iraq,1763,86,1224
,,Chile,12858,181,6746
,,Laos,19,0,7
,,Nepal,49,0,12
,,Argentina,3780,185,1030
,,Seychelles,11,0,6
,,Tanzania,299,10,48
,,Ukraine,8125,201,782
,,Ghana,1279,10,134
,,Zambia,84,3,37
,,Belize,18,2,5
,,Congo (Brazzaville),200,6,19
,,Holy See,9,0,2
,,Bahrain,2588,8,1160
,,India,26283,825,5939
,,Canada,45491,2547,16013
,New Brunswick,Canada,118,0,0
,Recovered,Canada,0,0,0
,Northwest Territories,Canada,5,0,0
,Grand Princess,Canada,-1,-1,0
,Manitoba,Canada,267,6,0
,Prince Edward Island,Canada,26,0,0
,Alberta,Canada,4233,73,0
,Quebec,Canada,23267,1446,0
,British Columbia,Canada,1948,100,0
,Saskatchewan,Canada,349,4,0
,Yukon,Canada,11,0,0
,Nova Scotia,Canada,-1,-1,0
,Ontario,Canada,15012,916,0
,Diamond Princess,Canada,0,1,0
,Newfoundland and Labrador,Canada,257,3,0
,,Maldives,177,0,17
,,Guinea-Bissau,52,0,3
,,Turkey,107773,2706,25582
,,Belgium,45325,6917,10417
,,Namibia,16,0,7
,,Finland,4475,186,2500
,,North Macedonia,1367,59,374
,,South Africa,4361,86,1473
,,Trinidad and Tobago,115,8,53
,,Central African Republic,16,0,10
,,Georgia,456,5,139
,,Jamaica,305,7,28
,,Peru,25331,700,7797
,,Saint Kitts and Nevis,15,0,2
,,Germany,156513,5877,109800
,,Yemen,1,0,1
,,Eritrea,39,0,13
,,Fiji,18,0,10
,,Guinea,996,7,208
,,Chad,46,0,15
,,Somalia,390,18,8
,,Sao Tome and Principe,4,0,0
,,Madagascar,123,0,62
,,Thailand,2907,51,2547
,,Equatorial Guinea,258,1,7
,,Libya,61,2,18
,,Costa Rica,693,6,242
,,Sweden,18177,2192,1005
,,Taiwan*,429,6,275
,,Vietnam,270,0,225
,,West Bank and Gaza,342,2,92
,,Malawi,33,3,4
,,Andorra,738,40,344
,,Liechtenstein,81,1,55
,,Poland,11273,524,2126
,,Bulgaria,1247,55,197
,,Jordan,444,7,332
,,Kuwait,2892,19,656
,,Nigeria,1182,35,222
,,Tunisia,939,38,207
,,Croatia,2016,54,1034
,,Sri Lanka,460,7,118
,,Uruguay,596,14,370
,,Timor-Leste,24,0,2
,,South,10728,242,8717
,Korea,South,10728,242,8717
,,United Kingdom,149569,20381,774
,Cayman Islands,United Kingdom,70,1,8
,Gibraltar,United Kingdom,136,0,131
,Montserrat,United Kingdom,11,1,2
,Falkland Islands (Malvinas),United Kingdom,13,0,11
,Channel Islands,United Kingdom,525,35,332
,Isle of Man,United Kingdom,308,18,243
,British Virgin Islands,United Kingdom,6,1,3
,Turks and Caicos Islands,United Kingdom,11,1,4
,Bermuda,United Kingdom,109,5,39
,Anguilla,United Kingdom,3,0,1
